source,run_name,run_path,model_label,model_short,seed,split_dir,esm_root,sequence_feature_root,metric_scope,done_event,last_epoch,best_epoch,f1_best,f1_at_0_5,best_threshold,pr_auc,auroc,mcc_best,mcc_at_0_5,top5,top10,val_loss
hpc2,contact_site_esm_final_contact_noseq_reg_seed42_e30_lr5e5_hpcue_20260619_002109,runs/contact_site_esm_final_contact_noseq_reg_seed42_e30_lr5e5_hpcue_20260619_002109,Final ESM | No scalar | +context empty-graph,Final + no scalar empty graph,42,features/contact_labels/splits_mmseq30_tmk_no_len_limit_predstruct_relaxed,features/esm2_t33_650M_UR50D/pt,,validation,False,30,30,0.7062340971313555,0.7056943478869531,0.46,0.7789233079213628,0.8457295836718751,0.5199743833634296,0.5158696747257242,0.8401286149589666,0.8122868493048008,0.5222329659895464
hpc2,contact_site_esm_final_contact_noseq_reg_seed43_e30_lr5e5_hpcue_20260619_002328,runs/contact_site_esm_final_contact_noseq_reg_seed43_e30_lr5e5_hpcue_20260619_002328,Final ESM | No scalar | +context empty-graph,Final + no scalar empty graph,43,features/contact_labels/splits_mmseq30_tmk_no_len_limit_predstruct_relaxed,features/esm2_t33_650M_UR50D/pt,,validation,False,30,29,0.70737667138387,0.7035756980800113,0.43,0.7790714795686622,0.8435407710196712,0.5223868734711025,0.5205427486872749,0.8629166432991232,0.8233613161938312,0.5277262167497114
hpc2,contact_site_esm_final_contact_noseq_reg_seed44_e30_lr5e5_hpcue_20260619_002328,runs/contact_site_esm_final_contact_noseq_reg_seed44_e30_lr5e5_hpcue_20260619_002328,Final ESM | No scalar | +context empty-graph,Final + no scalar empty graph,44,features/contact_labels/splits_mmseq30_tmk_no_len_limit_predstruct_relaxed,features/esm2_t33_650M_UR50D/pt,,validation,False,30,26,0.7124617468230413,0.7112472115382331,0.46,0.785648078432369,0.8465203237243683,0.5281099972340072,0.5253339598497586,0.8599629858112277,0.8179552524079001,0.5201397077603773
hpc2,contact_site_esm_final_contact_predstruct_reg_seed42_e30_lr5e5_hpcue_20260619_002109,runs/contact_site_esm_final_contact_predstruct_reg_seed42_e30_lr5e5_hpcue_20260619_002109,Final ESM | PredStruct scalar | +context empty-graph,Final + PS empty graph,42,features/contact_labels/splits_mmseq30_tmk_no_len_limit_predstruct_relaxed,features/esm2_t33_650M_UR50D/pt,features/pred_struct_sequence_scalar_relaxed/pt,validation,False,30,29,0.7108309404688028,0.7100409945605884,0.48,0.7942466317596768,0.8481504240675932,0.5279247833215909,0.5233451485293343,0.8733853027498925,0.8412097590225986,0.5157077312469482
hpc2,contact_site_esm_final_contact_predstruct_reg_seed43_e30_lr5e5_hpcue_20260619_002328,runs/contact_site_esm_final_contact_predstruct_reg_seed43_e30_lr5e5_hpcue_20260619_002328,Final ESM | PredStruct scalar | +context empty-graph,Final + PS empty graph,43,features/contact_labels/splits_mmseq30_tmk_no_len_limit_predstruct_relaxed,features/esm2_t33_650M_UR50D/pt,features/pred_struct_sequence_scalar_relaxed/pt,validation,False,30,29,0.7120646504525054,0.7118636140955173,0.46,0.7966251291091888,0.8526560970707628,0.5303338763685197,0.5233021378026737,0.8787131026489448,0.8450043098602106,0.5048293417150324
hpc2,contact_site_esm_final_contact_predstruct_reg_seed44_e30_lr5e5_hpcue_20260619_002328,runs/contact_site_esm_final_contact_predstruct_reg_seed44_e30_lr5e5_hpcue_20260619_002328,Final ESM | PredStruct scalar | +context empty-graph,Final + PS empty graph,44,features/contact_labels/splits_mmseq30_tmk_no_len_limit_predstruct_relaxed,features/esm2_t33_650M_UR50D/pt,features/pred_struct_sequence_scalar_relaxed/pt,validation,False,30,28,0.7089753708771424,0.708727094634794,0.48,0.7975720605575481,0.8512508149795303,0.5264113598917532,0.5179864645045023,0.8678518684687716,0.8392796911891467,0.5122706863013181
hpc2,contact_site_esm_final_contact_reg_seed42_e30_lr5e5_mmseq30_tmk,runs/contact_site_esm_final_contact_reg_seed42_e30_lr5e5_mmseq30_tmk,Final ESM | AA scalar | +context +contact,Final ESM | AA scalar | +context +contact,42,features/contact_labels/splits_mmseq30_tmk_no_len_limit,features/esm2_t33_650M_UR50D_contact/pt,,validation,False,30,21,0.7159894007996007,0.713348894075803,0.41,0.7843605828471235,0.8504584874724084,0.5335014873980426,0.5324195964709593,0.8529153347166919,0.8266030806131245,0.5289175694897061
hpc2,contact_site_esm_final_reg_seed42_e30_lr5e5_mmseq30_tmk,runs/contact_site_esm_final_reg_seed42_e30_lr5e5_mmseq30_tmk,Final ESM | AA scalar | +context no-contact,Final ESM | AA scalar | +context no-contact,42,features/contact_labels/splits_mmseq30_tmk_no_len_limit,features/esm2_t33_650M_UR50D/pt,,validation,False,30,30,0.711506835894218,0.7110014415060143,0.53,0.7829269723749503,0.8456900359152588,0.530378621071556,0.517800643202444,0.8531209690987606,0.8181988532024135,0.5200582558200473
hpc2,contact_site_esm_mlc_contact_nostrongreg_seed42_e30_lr5e5_mmseq30_tmk,runs/contact_site_esm_mlc_contact_nostrongreg_seed42_e30_lr5e5_mmseq30_tmk,MLC ESM | AA scalar | +context +contact weak-reg,MLC ESM | AA scalar | +context +contact weak-reg,42,features/contact_labels/splits_mmseq30_tmk_no_len_limit,features/esm2_t33_650M_UR50D_mlc/pt,,validation,False,7,7,0.7145243694753062,0.7141276508312501,0.47,0.7902197095151663,0.8516049227007029,0.5389902237241911,0.5289440956327837,0.870001682463126,0.8446108008844583,0.5176601083505721
hpc2,contact_site_esm_mlc_contact_nostrongreg_seed42_e30_lr5e5_nowpin_mmseq30_tmk,runs/contact_site_esm_mlc_contact_nostrongreg_seed42_e30_lr5e5_nowpin_mmseq30_tmk,MLC ESM | AA scalar | +context +contact weak-reg,MLC ESM | AA scalar | +context +contact weak-reg,42,features/contact_labels/splits_mmseq30_tmk_no_len_limit,features/esm2_t33_650M_UR50D_mlc/pt,,validation,False,30,28,0.720532764871357,0.7185172492717696,0.44,0.8117094420867619,0.8599275635138057,0.5561486108866754,0.5492331482196999,0.8866580674106892,0.8577652437881798,0.5883311075823647
