pdb_id,split,component_id,n_chains,n_clusters,clusters
1afo,train,0,2,1,1afo__A
1aig,test,2,3,2,1aig__L;8zk2__H
1aij,test,2,3,2,1aig__L;8zk2__H
1ap9,test,3,3,1,8rss__A
1ar1,train,0,2,2,1fft__A;1occ__B
1at9,test,3,3,1,8rss__A
1bcc,train,0,18,9,1l0l__H;3cwb__C;3cx5__D;7jrg__A;8asi__E;8p65__B;8p65__F;8p65__G;8p65__J
1be3,train,0,11,11,1be3__K;1l0l__H;3cwb__C;3cx5__D;4d6u__I;7jrg__A;8asi__E;8p65__B;8p65__F;8p65__G;8p65__J
1bgy,train,0,22,12,1be3__K;1bgy__E;1l0l__H;3cwb__C;3cx5__D;4d6u__I;7jrg__A;8asi__E;8p65__B;8p65__F;8p65__G;8p65__J
1bl8,val,6,4,1,4msw__C
1bm1,test,3,3,1,8rss__A
1brd,test,3,3,1,8rss__A
1brr,test,3,3,1,8rss__A
1brx,test,3,3,1,8rss__A
1c17,val,1,13,2,1a91__A;1c17__M
1c3w,test,3,3,1,8rss__A
1c8s,test,3,3,1,8rss__A
1cwq,test,3,3,1,8rss__A
1ds8,test,2,3,2,1aig__L;8zk2__H
1dv3,test,2,3,2,1aig__L;8zk2__H
1dv6,test,2,3,2,1aig__L;8zk2__H
1dxr,test,2,4,3,1aig__L;7c9r__C;8zk2__H
1dze,test,3,3,1,8rss__A
1e0p,test,3,3,1,8rss__A
1e12,test,3,3,1,8rss__A
1e14,test,2,3,2,1aig__L;8zk2__H
1e6d,test,2,3,2,1aig__L;8zk2__H
1e7p,val,11,6,3,4ysx__A;5xmj__N;5xmj__O
1ehk,train,23,3,3,1ehk__C;1xme__A;7deg__E
1eys,test,2,4,3,1aig__L;7c9r__C;8zk2__H
1ezv,train,0,20,11,1ezv__B;3cwb__C;3cx5__D;3cx5__G;5eul__V;7jrg__H;7rja__F;7rje__A;8ab6__I;8asi__E;8dwy__L
1f4z,test,3,3,1,8rss__A
1f50,test,3,3,1,8rss__A
1f6g,train,278,4,1,1f6g__A
1f6n,test,2,3,2,1aig__L;8zk2__H
1fbb,test,3,3,1,8rss__A
1fbk,test,3,3,1,8rss__A
1fft,train,0,3,3,1fft__A;6kob__B;6kob__C
1fnp,test,2,3,2,1aig__L;8zk2__H
1fnq,test,2,3,2,1aig__L;8zk2__H
1fqy,train,0,4,1,5i32__A
1fx8,train,43,4,1,3c02__A
1h2s,test,3,4,2,7zcm__B;8rss__A
1ih5,train,0,4,1,5i32__A
1ijd,test,2,18,2,8z81__a;8z81__b
1iw6,test,3,3,1,8rss__A
1iw9,test,3,3,1,8rss__A
1iwg,train,0,3,1,7cz9__C
1ixf,test,3,3,1,8rss__A
1j4n,train,0,4,1,5i32__A
1j95,val,6,4,1,4msw__C
1jb0,train,0,12,11,1jb0__M;5oy0__L;6k61__X;6tra__E;6zzx__I;7blz__D;7bw2__K;7lx0__G;7s3d__F;7s3d__J;8jjr__c
1jgw,test,2,3,2,1aig__L;8zk2__H
1jgx,test,2,3,2,1aig__L;8zk2__H
1jgy,test,2,3,2,1aig__L;8zk2__H
1jgz,test,2,3,2,1aig__L;8zk2__H
1jh0,test,2,3,2,1aig__L;8zk2__H
1jq1,train,388,4,1,1jq1__A
1jq2,train,388,4,1,1jq1__A
1jvm,val,6,4,1,4msw__C
1k4c,val,6,4,1,4msw__C
1k4d,val,6,4,1,4msw__C
1k6l,test,2,3,2,1aig__L;8zk2__H
1k6n,test,2,3,2,1aig__L;8zk2__H
1kb9,train,0,9,9,1ezv__B;3cwb__C;3cx5__D;3cx5__G;7jrg__H;7rja__F;7rje__A;8ab6__I;8asi__E
1kby,test,2,3,2,1aig__L;8zk2__H
1kf6,val,11,8,4,1kf6__C;1kf6__D;4ysx__A;5xmj__N
1kfy,val,11,8,4,1kf6__C;1kf6__D;4ysx__A;5xmj__N
1kg8,test,3,3,1,8rss__A
1kg9,test,3,3,1,8rss__A
1kgb,test,3,3,1,8rss__A
1kpk,val,13,2,1,6lsc__B
1kpl,val,13,2,1,6lsc__B
1kqf,train,387,9,3,1kqf__A;1kqf__B;1kqf__C
1kqg,train,387,9,3,1kqf__A;1kqf__B;1kqf__C
1kyo,train,0,23,12,1ezv__B;3cwb__C;3cx5__D;3cx5__G;5eul__V;5iy5__2;7jrg__H;7rja__F;7rje__A;8ab6__I;8asi__E;8dwy__L
1kzu,test,2,18,2,1kzu__B;8z81__a
1l0l,train,0,11,11,1l0l__H;1l0l__I;1sqq__K;3cwb__C;3cx5__D;7jrg__A;8asi__E;8p65__B;8p65__F;8p65__G;8p65__J
