seq_sha1,representative_seq_id,member_seq_id,split,pdb_id,chain_id,is_representative
404a6fc6d80656da,1aig__L,1aig__L,train,1aig,L,1
404a6fc6d80656da,1aig__L,1aij__L,train,1aij,L,0
404a6fc6d80656da,1aig__L,1ds8__L,train,1ds8,L,0
404a6fc6d80656da,1aig__L,1dv3__L,train,1dv3,L,0
404a6fc6d80656da,1aig__L,1dv6__L,train,1dv6,L,0
404a6fc6d80656da,1aig__L,1e14__L,train,1e14,L,0
404a6fc6d80656da,1aig__L,1e6d__L,train,1e6d,L,0
404a6fc6d80656da,1aig__L,1jgw__L,train,1jgw,L,0
404a6fc6d80656da,1aig__L,1jgx__L,train,1jgx,L,0
404a6fc6d80656da,1aig__L,1jgy__L,train,1jgy,L,0
404a6fc6d80656da,1aig__L,1jgz__L,train,1jgz,L,0
404a6fc6d80656da,1aig__L,1k6l__L,train,1k6l,L,0
404a6fc6d80656da,1aig__L,1kby__L,train,1kby,L,0
404a6fc6d80656da,1aig__L,1l9b__L,train,1l9b,L,0
404a6fc6d80656da,1aig__L,1l9j__L,train,1l9j,L,0
404a6fc6d80656da,1aig__L,1m3x__L,train,1m3x,L,0
404a6fc6d80656da,1aig__L,1mps__L,train,1mps,L,0
404a6fc6d80656da,1aig__L,1ogv__L,train,1ogv,L,0
404a6fc6d80656da,1aig__L,1pcr__L,train,1pcr,L,0
404a6fc6d80656da,1aig__L,1qov__L,train,1qov,L,0
404a6fc6d80656da,1aig__L,1rg5__L,train,1rg5,L,0
404a6fc6d80656da,1aig__L,1rgn__L,train,1rgn,L,0
404a6fc6d80656da,1aig__L,1rqk__L,train,1rqk,L,0
404a6fc6d80656da,1aig__L,1umx__L,train,1umx,L,0
404a6fc6d80656da,1aig__L,2bnp__A,train,2bnp,A,0
404a6fc6d80656da,1aig__L,2bns__A,train,2bns,A,0
404a6fc6d80656da,1aig__L,2boz__L,train,2boz,L,0
404a6fc6d80656da,1aig__L,2gnu__L,train,2gnu,L,0
404a6fc6d80656da,1aig__L,2hg3__L,train,2hg3,L,0
404a6fc6d80656da,1aig__L,2hg9__L,train,2hg9,L,0
404a6fc6d80656da,1aig__L,2hh1__L,train,2hh1,L,0
404a6fc6d80656da,1aig__L,2hhk__L,train,2hhk,L,0
404a6fc6d80656da,1aig__L,2hit__L,train,2hit,L,0
404a6fc6d80656da,1aig__L,2hj6__L,train,2hj6,L,0
404a6fc6d80656da,1aig__L,2j8c__L,train,2j8c,L,0
404a6fc6d80656da,1aig__L,2j8d__L,train,2j8d,L,0
404a6fc6d80656da,1aig__L,2jiy__L,train,2jiy,L,0
404a6fc6d80656da,1aig__L,2jj0__L,train,2jj0,L,0
404a6fc6d80656da,1aig__L,2uwt__L,train,2uwt,L,0
404a6fc6d80656da,1aig__L,2uwu__L,train,2uwu,L,0
404a6fc6d80656da,1aig__L,2uwv__L,train,2uwv,L,0
404a6fc6d80656da,1aig__L,2uww__L,train,2uww,L,0
404a6fc6d80656da,1aig__L,2ux3__L,train,2ux3,L,0
404a6fc6d80656da,1aig__L,2ux4__L,train,2ux4,L,0
404a6fc6d80656da,1aig__L,2ux5__L,train,2ux5,L,0
404a6fc6d80656da,1aig__L,2uxj__L,train,2uxj,L,0
404a6fc6d80656da,1aig__L,2uxk__L,train,2uxk,L,0
404a6fc6d80656da,1aig__L,2uxl__L,train,2uxl,L,0
404a6fc6d80656da,1aig__L,2uxm__L,train,2uxm,L,0
404a6fc6d80656da,1aig__L,3i4d__L,train,3i4d,L,0
404a6fc6d80656da,1aig__L,4h99__L,train,4h99,L,0
404a6fc6d80656da,1aig__L,4hbh__L,train,4hbh,L,0
404a6fc6d80656da,1aig__L,4hbj__L,train,4hbj,L,0
404a6fc6d80656da,1aig__L,4in5__L,train,4in5,L,0
404a6fc6d80656da,1aig__L,4in6__L,train,4in6,L,0
404a6fc6d80656da,1aig__L,4in7__L,train,4in7,L,0
404a6fc6d80656da,1aig__L,4n7k__L,train,4n7k,L,0
404a6fc6d80656da,1aig__L,4n7l__L,train,4n7l,L,0
404a6fc6d80656da,1aig__L,4tqq__L,train,4tqq,L,0
