split,seq_id,pdb_id,chain_id,n_residues,len_seq,nchain,rez,met1,mthm,tm_type,bio_name,seq_equal_xml,feature_path
train,1aig__L,1aig,L,281,281,3,2.6,x-ray diffraction,5.0,alpha,photosynthetic reaction center (l subunit),1,features/protein_v4/pt/1aig/1aig_protein.pt
train,1aig__M,1aig,M,299,299,3,2.6,x-ray diffraction,5.0,alpha,photosynthetic reaction center (m subunit),0,features/protein_v4/pt/1aig/1aig_protein.pt
train,1aij__L,1aij,L,281,281,3,2.2,x-ray diffraction,5.0,alpha,photosynthetic reaction center (l subunit),1,features/protein_v4/pt/1aij/1aij_protein.pt
train,1aij__M,1aij,M,301,301,3,2.2,x-ray diffraction,5.0,alpha,photosynthetic reaction center (m subunit),0,features/protein_v4/pt/1aij/1aij_protein.pt
train,1ap9__A,1ap9,A,219,219,3,2.35,x-ray diffraction,7.0,alpha,bacteriorhodopsin,0,features/protein_v4/pt/1ap9/1ap9_protein.pt
train,1ap9__B,1ap9,B,219,219,3,2.35,x-ray diffraction,7.0,alpha,,0,features/protein_v4/pt/1ap9/1ap9_protein.pt
train,1ap9__C,1ap9,C,219,219,3,2.35,x-ray diffraction,7.0,alpha,,0,features/protein_v4/pt/1ap9/1ap9_protein.pt
train,1ar1__A,1ar1,A,529,529,2,2.7,x-ray diffraction,12.0,alpha,cytochrome c oxidase,0,features/protein_v4/pt/1ar1/1ar1_protein.pt
train,1ar1__B,1ar1,B,252,252,2,2.7,x-ray diffraction,2.0,alpha,cytochrome c oxidase,0,features/protein_v4/pt/1ar1/1ar1_protein.pt
train,1at9__A,1at9,A,230,230,3,3.0,x-ray diffraction,7.0,alpha,bacteriorhodopsin,0,features/protein_v4/pt/1at9/1at9_protein.pt
train,1at9__B,1at9,B,230,230,3,3.0,x-ray diffraction,7.0,alpha,,0,features/protein_v4/pt/1at9/1at9_protein.pt
train,1at9__C,1at9,C,230,230,3,3.0,x-ray diffraction,7.0,alpha,,0,features/protein_v4/pt/1at9/1at9_protein.pt
train,1bcc__C,1bcc,C,379,379,18,3.16,x-ray diffraction,8.0,alpha,ubiquinol cytochrome c oxidoreductase,0,features/protein_v4/pt/1bcc/1bcc_protein.pt
train,1bcc__M,1bcc,M,379,379,18,3.16,x-ray diffraction,8.0,alpha,,0,features/protein_v4/pt/1bcc/1bcc_protein.pt
train,1be3__C,1be3,C,379,379,11,3.0,x-ray diffraction,8.0,alpha,cytochrome bc1 complex,1,features/protein_v4/pt/1be3/1be3_protein.pt
train,1bgy__C,1bgy,C,379,379,22,3.0,x-ray diffraction,8.0,alpha,cytochrome bc1 complex,1,features/protein_v4/pt/1bgy/1bgy_protein.pt
train,1bgy__O,1bgy,O,379,379,22,3.0,x-ray diffraction,8.0,alpha,cytochrome bc1 complex,1,features/protein_v4/pt/1bgy/1bgy_protein.pt
train,1bl8__A,1bl8,A,97,97,4,3.2,x-ray diffraction,2.0,alpha,protein (potassium channel protein),1,features/protein_v4/pt/1bl8/1bl8_protein.pt
train,1bl8__B,1bl8,B,97,97,4,3.2,x-ray diffraction,2.0,alpha,protein (potassium channel protein),1,features/protein_v4/pt/1bl8/1bl8_protein.pt
